frame,derrape
416,8.24579403490379
417,8.899883189799686
418,9.011131729672167
419,8.547315588743963
420,10.099980959616511
421,8.833511636662509
524,8.244345381486076
525,10.486168582643733
526,11.341436219440215
527,11.236102527122116
528,12.222965714939876
529,10.9873515230525
530,10.304196746386118
531,8.568753083836926
1076,8.180735495624434
1178,8.400000000000013
1179,9.192388155425117
1180,10.168116544346157
1181,12.203404316955073
1182,13.038404810405298
1183,12.88366656439616
1184,12.129600938815383
1185,10.1922503507869
1186,9.33335284931609
1288,8.300000000000011
1289,9.899494936611665
1290,10.802465430894285
1291,11.171752835627213
1292,11.65367158539944
1293,11.932752751787582
1294,11.5365869387911
1295,10.671567501598672
1296,8.785683541655617
1399,8.277209380096103
1400,9.295258730255203
1401,10.04349978676777
1402,10.735455276791944
1403,11.420686112028767
1404,10.661134733903022
1405,9.553736058686383
1406,8.428588694588784
