frame,derrape
97,9.619483886713176
98,11.73275703100675
99,13.871622352620186
100,16.429967140098576
101,16.1245154965971
102,17.821601753240216
103,17.993997239401363
104,17.422225364504488
105,16.061923965075103
106,14.705441169852742
107,12.103400666437004
108,9.647638212377323
164,9.263704238381987
165,10.960155108391486
166,13.682725647036724
167,15.949368418253288
168,17.44276354251241
169,19.22221898665142
170,18.60944586520071
171,18.196561896821727
172,16.873175577052862
173,15.700318468107582
174,13.345190805944195
175,12.118046823788491
176,8.855830992868924
285,8.027675863320415
286,8.74642784226795
287,9.260923597695516
288,8.06225774829855
493,8.48528137423857
494,10.05686800447367
495,10.975909449120541
496,10.733126291999016
497,10.062305898749054
498,9.761870601839503
499,9.70774868934006
500,8.040761540665518
914,8.574929257125456
1016,8.17247227461903
1017,8.622571731653167
1018,8.077747210701755
1019,8.727680894321459
