frame,derrape
186,8.88832344022098
187,9.219544457292887
188,9.55628384758476
189,9.669679555326681
190,9.96117462953044
191,8.98581356143254
297,8.02847282108659
298,9.545941546018392
299,10.7685817516132
300,12.619429464123963
301,12.704418412151345
302,12.06707901220877
303,11.835738501773022
304,9.656603957913983
305,8.246211251235321
413,8.633710420867699
414,10.563042594463921
415,11.533545873337088
416,11.661903789690601
417,12.298373876248844
418,11.556436280800225
419,10.378802760540832
420,9.119400283925602
