Frame,PWM,Meta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y,Pos Extr X,Pos Extr Y
60,58,0,0,1692011751659.214,31.85302734375,461.0,93.0,7.071,0,1.0,426.5,90.0,459.5,93.0
61,58,0,0,1692011751699.416,40.201904296875,466.0,95.0,5.385,0,0.5,433.5,90.0,468.0,94.0
62,58,0,0,1692011751728.28,28.864013671875,472.5,97.0,6.801,0,0.6073733934116607,439.5,90.0,471.0,97.0
63,58,0,0,1692011751759.834,31.553955078125,479.0,99.5,6.964,0,1.0,447.0,90.0,479.0,99.0
64,58,0,0,1692011751795.304,35.469970703125,485.0,102.5,6.708,0,0.8944271909999159,453.5,91.0,485.5,102.0
65,58,0,0,1692011751827.325,32.02099609375,491.0,106.0,6.946,0,0.9899494936611686,461.0,92.0,491.0,105.5
66,58,0,0,1692011751859.126,31.801025390625,497.0,110.5,7.5,0,1.6909936308157525,468.5,94.0,497.0,109.5
67,58,0,0,1692011751900.262,41.135986328125,503.0,115.5,7.81,0,1.0769372379266153,475.5,97.0,503.0,115.0
68,58,0,0,1692011751931.511,31.2490234375,509.0,121.5,8.485,0,1.3416407864998865,483.0,100.0,509.0,120.5
69,58,0,0,1692011751961.736,30.22509765625,513.0,127.0,6.801,0,1.4756222890348238,490.5,104.0,515.0,127.5
70,58,0,0,1692011751998.764,37.02783203125,519.0,133.5,8.846,0,1.8999999999999886,497.5,108.5,517.0,132.5
71,58,0,0,1692011752030.55,31.7861328125,523.0,140.5,8.062,0,2.1213203435596424,504.5,114.0,525.0,140.0
72,58,0,0,1692011752062.655,32.10498046875,526.5,147.5,7.826,0,2.4748737341529163,510.5,119.5,527.0,147.5
73,58,0,0,1692011752099.178,36.52294921875,530.0,156.5,9.657,0,2.9109521075627725,516.5,126.5,530.0,154.5
74,58,0,0,1692011752130.812,31.634033203125,532.0,165.0,8.732,0,2.604729426373335,522.0,133.5,533.5,165.5
75,58,0,0,1692011752162.681,31.868896484375,534.0,173.5,8.732,0,2.23606797749979,526.0,141.5,534.0,173.5
76,58,0,0,1692011752198.761,36.080078125,534.0,182.5,9.0,0,2.174677566929698,530.0,150.5,536.0,182.0
77,58,0,0,1692011752230.704,31.943115234375,535.0,192.0,9.552,0,2.347653170686827,533.0,159.0,534.0,191.5
78,58,0,0,1692011752261.007,30.302978515625,534.0,201.5,9.552,0,2.004094170098552,535.0,169.0,536.0,201.5
79,58,0,0,1692011752294.855,33.847900390625,532.0,210.5,9.22,0,3.0,537.0,178.0,533.0,211.0
80,58,0,0,1692011752326.98,32.125,530.0,220.5,10.198,0,2.4600924361739867,537.0,187.5,530.0,219.5
81,58,0,0,1692011752358.931,31.950927734375,526.0,229.0,9.394,0,2.6171196129510506,537.0,198.0,528.0,230.5
82,58,0,0,1692011752400.197,41.26611328125,522.0,237.5,9.394,0,2.2777698070959143,535.0,207.5,522.0,237.5
83,58,0,0,1692011752431.461,31.263916015625,517.0,246.0,9.862,0,2.2553355540891054,533.0,217.0,518.0,246.0
84,58,0,0,1692011752464.617,33.156005859375,511.0,254.0,10.0,0,3.6724994383452296,531.0,227.0,512.0,254.5
85,58,0,0,1692011752500.03,35.4130859375,505.0,261.0,9.22,0,3.193477772474139,526.0,236.5,505.0,262.0
86,58,0,0,1692011752532.714,32.68408203125,498.0,267.0,9.22,0,3.1942267973494216,521.0,245.5,499.0,268.0
87,58,0,0,1692011752559.056,26.341796875,490.0,273.0,10.0,0,3.299999999999983,515.5,253.5,491.0,273.0
88,58,0,0,1692011752595.16,36.10400390625,482.0,278.0,9.434,0,3.037026409461205,509.0,261.0,482.0,279.0
89,58,0,0,1692011752627.171,32.010986328125,474.0,282.5,9.179,0,2.711630722733196,501.0,268.0,474.0,283.0
90,58,0,0,1692011752659.029,31.858154296875,464.0,286.0,10.595,0,2.5999999999999885,493.0,274.0,466.0,287.0
91,58,0,0,1692011752698.349,39.320068359375,454.0,289.0,10.44,0,1.907996184011466,484.0,279.0,454.0,289.5
92,58,0,0,1692011752730.573,32.223876953125,444.0,290.5,10.112,0,1.4157875345490207,474.0,284.0,444.0,292.0
93,58,0,3,1692011752762.54,31.967041015625,434.0,291.5,10.05,0,1.7461379592771136,465.0,287.5,434.0,292.0
94,58,0,0,1692011752798.499,35.958984375,424.0,291.5,10.0,0,2.2030004560086374,455.0,291.0,424.0,292.5
95,58,0,0,1692011752829.632,31.133056640625,414.0,290.5,10.05,0,2.48759297552499,444.0,293.0,414.0,291.5
96,58,0,0,1692011752861.807,32.1748046875,404.0,290.5,10.0,0,2.039826239930472,434.5,293.5,404.0,289.5
97,58,0,0,1692011752899.937,38.130126953125,394.0,290.5,10.0,0,2.0,425.0,293.5,394.0,290.5
98,58,0,0,1692011752930.897,30.9599609375,384.0,290.5,10.0,0,1.9403225209094732,414.5,292.5,384.0,290.5
99,58,0,0,1692011752962.791,31.89404296875,374.0,290.5,10.0,0,1.0,404.5,291.5,374.0,290.5
100,58,0,0,1692011752998.713,35.921875,362.0,290.5,12.0,0,0.0,393.5,290.5,364.0,290.5
101,58,0,0,1692011753030.849,32.13623046875,352.0,290.5,10.0,0,0.0,383.5,290.5,350.0,290.5
102,58,0,0,1692011753062.648,31.798828125,342.0,291.0,10.012,0,1.0,372.5,289.5,342.0,290.5
103,58,0,0,1692011753098.241,35.593017578125,329.0,291.0,13.0,0,0.0,361.5,290.5,332.0,291.5
104,58,0,0,1692011753127.131,28.89013671875,321.0,291.0,8.0,0,0.09987523388781001,350.0,290.5,316.0,291.0
105,58,0,0,1692011753159.146,32.014892578125,307.5,291.0,13.5,0,0.5,339.5,290.5,313.0,291.0
106,58,0,0,1692011753195.374,36.22802734375,296.0,291.5,11.511,0,0.0,328.0,291.0,294.0,291.0
107,58,0,0,1692011753230.616,35.241943359375,284.5,291.5,11.5,0,0.5,316.0,291.5,284.5,292.0
108,58,0,0,1692011753262.644,32.028076171875,274.0,291.5,10.5,0,0.36921640634858177,304.5,291.5,273.0,291.5
109,58,0,0,1692011753294.977,32.3330078125,262.0,291.5,12.0,0,0.0,292.0,291.5,263.5,291.5
110,58,0,0,1692011753331.232,36.2548828125,250.0,292.0,12.01,0,0.0,281.0,291.5,250.0,291.5
111,58,0,0,1692011753363.066,31.833984375,238.0,292.0,12.0,0,0.0,269.0,291.5,238.0,292.5
112,58,0,0,1692011753398.683,35.6171875,226.0,292.0,12.0,0,0.24978326827310693,256.0,291.5,226.0,292.0
113,58,0,0,1692011753430.694,32.010986328125,214.0,292.0,12.0,0,0.5,245.0,291.5,214.0,292.0
