Frame,PWM,Meta,Tiempo vuelta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y
66,50,0,,0,1691848588103.931,32.14990234375,534.5,173.5,7.517,0,0.7450140076264617,526.0,142.5
67,50,0,,0,1691848588135.923,31.9921875,536.0,181.5,8.139,0,0.21538744758533163,528.0,149.5
68,50,0,,0,1691848588172.297,36.3740234375,536.0,190.0,8.5,0,0.3282660821493176,531.0,157.0
69,50,0,,0,1691848588203.839,31.5419921875,535.5,198.0,8.016,0,0.5797409637607185,533.0,164.5
70,50,0,,0,1691848588235.866,32.02685546875,534.0,205.5,7.649,0,0.49143609346718714,535.0,173.5
71,50,0,,0,1691848588271.917,36.051025390625,532.0,213.5,8.246,0,0.8907279194092118,535.0,181.0
72,50,0,,0,1691848588304.006,32.089111328125,530.0,221.5,8.246,0,0.0,536.0,189.0
73,50,0,,0,1691848588336.923,32.9169921875,526.5,229.0,8.276,0,0.5614045753966798,535.0,197.0
74,50,0,,0,1691848588368.379,31.455810546875,524.0,236.0,7.433,0,0.882522608121856,535.0,205.0
75,50,0,,0,1691848588400.32,31.941162109375,519.0,243.0,8.602,0,0.7276068751090403,533.0,212.5
76,50,0,,0,1691848588436.417,36.096923828125,515.0,249.0,7.211,0,0.6063390625908669,531.0,220.0
77,50,0,,0,1691848588468.572,32.155029296875,510.5,255.5,7.906,0,0.9363892446618207,528.0,228.0
78,50,0,,0,1691848588500.468,31.89599609375,505.0,261.5,8.139,0,0.16816819849907239,524.0,235.5
79,50,0,,0,1691848588532.539,32.071044921875,499.0,266.5,7.81,0,0.5231143743471471,520.0,242.5
80,50,0,,0,1691848588568.44,35.90087890625,493.0,271.0,7.5,0,0.27735009811266187,515.0,248.5
81,50,0,,0,1691848588600.423,31.983154296875,486.0,275.5,8.322,0,0.6957010852370381,510.0,255.0
82,50,0,,0,1691848588632.445,32.02197265625,479.0,279.5,8.062,0,0.6757246285173603,505.0,260.5
83,50,0,,0,1691848588668.456,36.010986328125,471.5,282.5,8.078,0,0.3841106397986661,499.0,266.0
84,50,0,,0,1691848588700.403,31.947021484375,465.0,285.5,7.159,0,0.0,493.0,271.0
85,50,0,,0,1691848588736.492,36.0888671875,457.0,287.5,8.246,0,0.24806946917842396,485.5,275.5
86,50,0,,0,1691848588772.494,36.001953125,449.5,289.0,7.649,0,0.0,479.0,279.5
87,50,0,,0,1691848588804.734,32.239990234375,442.0,290.0,7.566,0,0.8356290217967439,472.5,283.0
88,50,0,,3,1691848588836.068,31.334228515625,434.0,290.5,8.016,0,0.0,465.0,285.5
89,50,0,,0,1691848588872.008,35.93994140625,427.0,290.5,7.0,0,0.12126781251816648,457.5,287.5
90,50,0,,0,1691848588902.583,30.574951171875,419.0,290.5,8.0,0,0.49561395034134365,449.5,289.5
91,50,0,,0,1691848588932.065,29.48193359375,411.0,290.0,8.016,0,0.49902628924144427,442.0,290.5
92,50,0,,0,1691848588968.186,36.12109375,403.5,289.5,7.517,0,0.06237828615518053,435.0,290.5
93,50,0,,0,1691848589000.659,32.472900390625,396.0,289.5,7.5,0,0.5,427.0,291.0
94,50,0,,0,1691848589032.424,31.76513671875,388.0,289.5,8.0,0,0.0,419.0,290.5
95,50,0,,0,1691848589071.658,39.23388671875,380.0,289.5,8.0,0,0.49902628924144427,411.0,290.5
96,50,0,,0,1691848589103.899,32.240966796875,372.0,289.5,8.0,0,0.0,403.0,289.5
97,50,0,,0,1691848589136.417,32.51806640625,363.0,289.5,9.0,0,0.0,394.5,289.5
98,50,0,,0,1691848589172.023,35.60595703125,355.0,289.5,8.0,0,0.0,386.5,289.5
99,50,0,,0,1691848589204.424,32.401123046875,347.0,289.5,8.0,0,0.0,377.5,289.5
100,50,0,,0,1691848589235.876,31.451904296875,339.0,289.5,8.0,0,0.0,369.5,289.5
101,50,0,,0,1691848589271.819,35.943115234375,330.5,289.5,8.5,0,0.0,361.5,289.5
102,50,0,,0,1691848589303.96,32.140869140625,322.0,290.0,8.515,0,0.0,353.0,289.5
103,50,0,,0,1691848589335.795,31.8349609375,314.0,290.0,8.0,0,0.0,345.0,289.5
104,50,0,,0,1691848589371.791,35.99609375,305.0,290.0,9.0,0,0.0,336.5,289.5
105,50,0,,0,1691848589403.951,32.159912109375,296.5,290.0,8.5,0,0.1468050548786525,328.0,289.5
106,50,0,,0,1691848589436.123,32.172119140625,288.0,290.5,8.515,0,0.5,319.5,290.5
107,50,0,,0,1691848589471.673,35.550048828125,279.0,290.5,9.0,0,0.5,310.0,290.5
108,50,0,,0,1691848589503.811,32.137939453125,270.0,290.5,9.0,0,0.5,300.5,290.5
109,50,0,,0,1691848589536.411,32.599853515625,261.0,290.5,9.0,0,0.23488808780587808,292.0,290.5
110,50,0,,0,1691848589572.187,35.776123046875,252.0,290.5,9.0,0,0.0,283.0,290.5
111,50,0,,0,1691848589603.928,31.740966796875,242.5,290.5,9.5,0,0.0,273.0,290.5
112,50,0,,0,1691848589635.865,31.93701171875,234.0,290.5,8.5,0,0.0,264.5,290.5
113,50,0,,0,1691848589671.835,35.969970703125,224.0,291.0,10.012,0,0.0,255.0,290.5
114,50,0,,0,1691848589703.691,31.85595703125,214.5,291.0,9.5,0,0.0,246.0,290.5
115,50,0,,0,1691848589735.714,32.023193359375,204.5,291.5,10.012,0,0.0,236.0,290.5
116,50,0,,0,1691848589771.814,36.099853515625,195.0,291.5,9.5,0,0.37453212707917755,226.5,290.5
117,50,0,,0,1691848589803.702,31.887939453125,186.0,291.5,9.0,0,0.0,216.5,291.0
118,50,0,,0,1691848589836.129,32.427001953125,176.0,292.0,10.012,0,0.12484404235970646,207.0,291.5
119,50,0,,0,1691848589871.856,35.72705078125,166.0,292.0,10.0,0,0.0,197.0,291.5
120,50,0,,0,1691848589903.824,31.968017578125,156.0,292.0,10.0,0,0.0,187.0,291.5
