frame,derrape
432,8.22468878547861
433,8.077747210701755
537,8.719775384642697
538,9.542463516226107
539,10.297854848444764
540,11.177810112630642
541,11.30235016560962
542,10.81563908331299
543,8.406055240472963
643,8.262273428075476
644,9.006885167700498
645,10.529282925384848
646,11.970342890280616
647,12.529964086141668
648,12.553316139668075
649,11.74885113356105
650,10.846522890932839
651,9.095085938862535
754,8.854493879136747
755,9.912706238280405
756,10.502582060375612
757,11.180339887498949
758,10.546361579912599
759,10.087266288567537
760,9.435449528695665
863,8.358486681863837
864,8.696442893615744
865,8.5
866,8.935046253175894
867,9.328719097496737
868,8.026426939290316
869,8.085911381206277
969,8.675703326011826
970,10.200000000000024
971,11.703346394586616
972,12.29570582678124
973,11.643660820815592
974,11.513110966977258
975,10.792835314116845
976,8.863052029361382
1026,8.594860186275385
1027,8.25592983003675
1028,8.304494123154617
1029,8.315130075639667
1078,8.002768764079867
1079,10.04487636979192
1080,10.878957860839913
1081,11.62755348299888
1082,12.745587471748776
1083,13.127981238664063
1084,11.74885113356105
1085,10.954988119842186
1086,9.219544457292887
1190,9.055631145621183
1191,9.984603532054093
1192,10.06012294918463
1193,8.94427190999916
1194,9.739677297971124
1195,8.073636513825548
1196,8.30214885892052
1297,9.581519218518864
1298,9.478375597136681
1299,10.062305898749054
1300,9.838699100999037
1301,11.553995787295827
1302,10.200273349646436
1303,8.137749871615133
1403,9.545941546018392
1404,10.410024048127557
1405,11.774352357730097
1406,12.093386622447824
1407,12.660083837490042
1408,11.74885113356105
1409,10.738057662023499
1410,8.93799394993401
1513,8.719775384642697
1514,9.321699169354803
1515,9.17877987534291
1516,10.725941193183875
1517,10.31165254329877
1518,9.877295966495877
1519,8.759897876734165
1563,10.677864057100475
1564,13.308379653620262
1565,15.957247056571317
1566,17.860964278107165
1571,18.380365552345193
1572,17.608390199146694
1573,16.027678761645006
1574,13.491188315421368
1575,9.851875936057018
1741,8.329351846919486
1742,9.211379101442688
1743,11.43634989889263
1744,9.848857801796104
1745,10.190366252320697
1746,9.96117462953044
1747,8.923284148787374
1846,8.652632098181847
1847,8.276472678623424
1848,9.037443762204626
1946,8.35449982600987
1947,9.099999999999984
1948,8.266999182779013
1949,8.94427190999916
1950,8.791076092716137
2152,8.013888805885907
2154,8.276335998288149
